day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;2;10;12;0;4988;12
7;5;10;15;0;4985;15
8;10;10;20;0;4980;20
9;14;10;24;0;4976;24
10;20;10;30;0;4970;30
11;20;12;32;0;4968;32
12;20;15;35;0;4965;35
13;20;20;40;0;4960;40
14;26;14;40;10;4950;50
15;26;20;46;10;4944;56
16;29;22;51;10;4939;61
17;31;25;56;10;4934;66
18;33;30;63;10;4927;73
19;32;40;72;10;4918;82
20;41;44;85;12;4903;97
21;51;46;97;15;4888;112
22;64;46;110;20;4870;130
23;63;49;112;24;4864;136
24;66;52;118;30;4852;148
25;65;65;130;32;4838;162
26;76;77;153;35;4812;188
27;88;90;178;40;4782;218
28;101;86;187;50;4763;237
29;116;92;208;56;4736;264
30;139;101;240;61;4699;301
31;148;122;270;66;4664;336
32;154;145;299;73;4628;372
33;173;155;328;82;4590;410
34;192;167;359;97;4544;456
35;204;189;393;112;4495;505
36;211;206;417;130;4453;547
37;226;236;462;136;4402;598
38;247;262;509;148;4343;657
39;275;294;569;162;4269;731
40;305;317;622;188;4190;810
41;333;329;662;218;4120;880
42;359;361;720;237;4043;957
43;367;393;760;264;3976;1024
44;379;430;809;301;3890;1110
45;390;474;864;336;3800;1200
46;415;508;923;372;3705;1295
47;439;547;986;410;3604;1396
48;483;568;1051;456;3493;1507
49;528;605;1133;505;3362;1638
50;571;653;1224;547;3229;1771
51;607;697;1304;598;3098;1902
52;645;739;1384;657;2959;2041
53;665;776;1441;731;2828;2172
54;652;828;1480;810;2710;2290
55;649;891;1540;880;2580;2420
56;640;945;1585;957;2458;2542
57;618;1017;1635;1024;2341;2659
58;618;1062;1680;1110;2210;2790
59;644;1090;1734;1200;2066;2934
60;659;1125;1784;1295;1921;3079
61;655;1146;1801;1396;1803;3197
62;656;1152;1808;1507;1685;3315
63;629;1152;1781;1638;1581;3419
64;605;1163;1768;1771;1461;3539
65;566;1177;1743;1902;1355;3645
66;529;1156;1685;2041;1274;3726
67;477;1143;1620;2172;1208;3792
68;468;1129;1597;2290;1113;3887
69;417;1119;1536;2420;1044;3956
70;382;1103;1485;2542;973;4027
71;366;1067;1433;2659;908;4092
72;356;1002;1358;2790;852;4148
73;305;953;1258;2934;808;4192
74;281;877;1158;3079;763;4237
75;239;830;1069;3197;734;4266
76;205;777;982;3315;703;4297
77;183;729;912;3419;669;4331
78;172;653;825;3539;636;4364
79;144;592;736;3645;619;4381
80;128;540;668;3726;606;4394
81;122;505;627;3792;581;4419
82;100;444;544;3887;569;4431
83;85;408;493;3956;551;4449
84;79;354;433;4027;540;4460
85;85;302;387;4092;521;4479
86;68;271;339;4148;513;4487
87;59;239;298;4192;510;4490
88;44;212;256;4237;507;4493
89;45;194;239;4266;495;4505
90;31;182;213;4297;490;4510
91;30;156;186;4331;483;4517
92;30;126;156;4364;480;4520
93;34;112;146;4381;473;4527
94;23;111;134;4394;472;4528
95;19;91;110;4419;471;4529
96;14;86;100;4431;469;4531
97;14;71;85;4449;466;4534
98;8;67;75;4460;465;4535
99;8;49;57;4479;464;4536
100;8;42;50;4487;463;4537
101;8;41;49;4490;461;4539
102;7;41;48;4493;459;4541
103;9;30;39;4505;456;4544
104;10;26;36;4510;454;4546
105;10;20;30;4517;453;4547
106;8;19;27;4520;453;4547
107;6;14;20;4527;453;4547
108;4;16;20;4528;452;4548
109;4;17;21;4529;450;4550
110;3;16;19;4531;450;4550
111;5;13;18;4534;448;4552
112;5;12;17;4535;448;4552
113;4;12;16;4536;448;4552
114;2;13;15;4537;448;4552
115;2;11;13;4539;448;4552
116;0;11;11;4541;448;4552
117;1;8;9;4544;447;4553
118;1;6;7;4546;447;4553
119;1;5;6;4547;447;4553
120;2;5;7;4547;446;4554
121;2;5;7;4547;446;4554
122;1;5;6;4548;446;4554
123;1;3;4;4550;446;4554
