day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;3;10;13;0;4987;13
7;8;10;18;0;4982;18
8;8;10;18;0;4982;18
9;12;10;22;0;4978;22
10;14;10;24;0;4976;24
11;14;13;27;0;4973;27
12;14;18;32;0;4968;32
13;23;18;41;0;4959;41
14;23;12;35;10;4955;45
15;25;14;39;10;4951;49
16;25;17;42;10;4948;52
17;25;22;47;10;4943;57
18;20;31;51;10;4939;61
19;27;35;62;10;4928;72
20;31;36;67;13;4920;80
21;38;34;72;18;4910;90
22;46;39;85;18;4897;103
23;53;39;92;22;4886;114
24;52;48;100;24;4876;124
25;57;53;110;27;4863;137
26;64;58;122;32;4846;154
27;78;62;140;41;4819;181
28;86;69;155;45;4800;200
29;98;75;173;49;4778;222
30;101;85;186;52;4762;238
31;105;97;202;57;4741;259
32;117;120;237;61;4702;298
33;139;128;267;72;4661;339
34;158;142;300;80;4620;380
35;190;148;338;90;4572;428
36;220;156;376;103;4521;479
37;237;184;421;114;4465;535
38;249;215;464;124;4412;588
39;264;243;507;137;4356;644
40;271;274;545;154;4301;699
41;276;298;574;181;4245;755
42;310;335;645;200;4155;845
43;340;366;706;222;4072;928
44;363;406;769;238;3993;1007
45;405;440;845;259;3896;1104
46;457;457;914;298;3788;1212
47;457;506;963;339;3698;1302
48;481;548;1029;380;3591;1409
49;521;579;1100;428;3472;1528
50;539;625;1164;479;3357;1643
51;551;677;1228;535;3237;1763
52;578;714;1292;588;3120;1880
53;594;765;1359;644;2997;2003
54;609;829;1438;699;2863;2137
55;610;888;1498;755;2747;2253
56;622;918;1540;845;2615;2385
57;656;952;1608;928;2464;2536
58;670;996;1666;1007;2327;2673
59;647;1033;1680;1104;2216;2784
60;649;1041;1690;1212;2098;2902
61;629;1083;1712;1302;1986;3014
62;588;1127;1715;1409;1876;3124
63;560;1145;1705;1528;1767;3233
64;551;1141;1692;1643;1665;3335
65;546;1139;1685;1763;1552;3448
66;543;1134;1677;1880;1443;3557
67;506;1121;1627;2003;1370;3630
68;497;1096;1593;2137;1270;3730
69;475;1082;1557;2253;1190;3810
70;424;1063;1487;2385;1128;3872
71;378;1021;1399;2536;1065;3935
72;367;957;1324;2673;1003;3997
73;324;946;1270;2784;946;4054
74;290;908;1198;2902;900;4100
75;270;858;1128;3014;858;4142
76;249;811;1060;3124;816;4184
77;222;764;986;3233;781;4219
78;198;719;917;3335;748;4252
79;185;652;837;3448;715;4285
80;174;585;759;3557;684;4316
81;167;554;721;3630;649;4351
82;146;489;635;3730;635;4365
83;133;442;575;3810;615;4385
84;110;413;523;3872;605;4395
85;101;381;482;3935;583;4417
86;73;354;427;3997;576;4424
87;69;311;380;4054;566;4434
88;54;285;339;4100;561;4439
89;56;253;309;4142;549;4451
90;43;233;276;4184;540;4460
91;39;205;244;4219;537;4463
92;40;182;222;4252;526;4474
93;43;154;197;4285;518;4482
94;33;135;168;4316;516;4484
95;24;109;133;4351;516;4484
96;25;98;123;4365;512;4488
97;15;89;104;4385;511;4489
98;9;87;96;4395;509;4491
99;9;67;76;4417;507;4493
100;10;60;70;4424;506;4494
101;6;54;60;4434;506;4494
102;6;50;56;4439;505;4495
103;7;40;47;4451;502;4498
104;5;33;38;4460;502;4498
105;5;31;36;4463;501;4499
106;5;20;25;4474;501;4499
107;4;13;17;4482;501;4499
108;2;14;16;4484;500;4500
109;2;14;16;4484;500;4500
110;1;11;12;4488;500;4500
111;1;10;11;4489;500;4500
112;2;8;10;4491;499;4501
113;1;7;8;4493;499;4501
114;1;6;7;4494;499;4501
115;1;6;7;4494;499;4501
116;1;5;6;4495;499;4501
117;0;3;3;4498;499;4501
